,date,year,month,day,time,hour,minute,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_initiating_event,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,unnamed_23,material_at_origin_comments,voltage
0,6/10/2014,2014,6,10,12:15:14 AM,0,15,40.20599,-122.25333,Vegetation,Rural,< 0.25 Acres,Fire Agency,Red Bluff FD,101545144,,12000,Conductor,Overhead,Yes,6/10/2014 15:14,6/10/2014 15:14,Contact From Object,N.A.,Other,Electric Facility,Human Error,Conveyor belt contact,,
1,6/12/2014,2014,6,12,12:06:30 AM,0,6,38.04374999,-122.74624,Vegetation,Rural,10 - 99 Acres,Fire Agency,Cal Fire et al,102230371,AT&T,12000,Conductor,Overhead,Yes,6/12/2014 6:30,6/12/2014 6:30,Equipment/ Facility Failure,Crossarm,N.A.,N.A.,Unknown,,,
2,6/13/2014,2014,6,13,12:09:19 AM,0,9,36.93347999,-121.388549,Vegetation,Rural,< 0.25 Acres,Fire Agency,Hollister FD,101703071,AT&T,21000,Conductor,Overhead,Yes,6/13/2014 9:19,6/13/2014 9:19,Contact From Object,N.A.,Vehicle,Pole,Human Error,,,
3,6/14/2014,2014,6,14,12:08:47 AM,0,8,37.419005,-122.18077,Vegetation,Rural,< 3 meters ,Unknown,,100275552,AT&T,12000,Conductor,Overhead,Yes,6/14/2014 8:47,6/14/2014 8:47,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
4,6/14/2014,2014,6,14,12:11:01 AM,0,11,37.130915,-121.091918,Vegetation,Rural,10 - 99 Acres,Fire Agency,CAL Fire,Pole 000/013,None,70000,Conductor,Overhead,Yes,6/14/2014 11:01,6/14/2014 11:01,Equipment/ Facility Failure,Crossarm,N.A.,N.A.,Unknown,,,
5,6/15/2014,2014,6,15,12:09:47 AM,0,9,37.130774,-121.97141,Vegetation,Rural,< 0.25 Acres,Fire Agency,,"23633 Schulties Rd, Los Gatos",,12000,Conductor,Overhead,Yes,6/15/2014 9:47,6/15/2014 9:47,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
6,6/15/2014,2014,6,15,12:17:28 AM,0,17,37.970771,-121.984981,Vegetation,Urban,< 3 meters ,Self Extinguished,,"4239 Teakwood Ct, Concord",,0 – 750,Conductor,Overhead,Yes,6/15/2014 17:28,6/15/2014 17:28,Wire-Wire Contact,N.A.,N.A.,N.A.,Weather,,,
7,6/15/2014,2014,6,15,12:20:55 AM,0,20,39.88785999,-122.197369,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,101500605,,12000,Conductor,Overhead,Yes,6/15/2014 20:55,6/15/2014 20:55,Contact From Object,N.A.,Vehicle,Pole,Human Error,,,
8,6/16/2014,2014,6,16,12:15:37 AM,0,15,38.16816999,-120.607469,Vegetation,Rural,< 0.25 Acres,Fire Agency,,101280871,AT&T,0 – 750,Conductor,Overhead,No, , ,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
9,6/17/2014,2014,6,17,12:13:49 AM,0,13,38.666794,-122.596397,Vegetation,Rural,< 3 meters ,Fire Agency,Cal Fire,102247824,  ,12000,Conductor,Overhead,Yes,6/17/2014 13:49,6/17/2014 13:49,Contact From Object,N.A.,Vehicle,Pole,Human Error,,,
