,date,time,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_ignition_cause,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,facility_identification_circuit,suspected_initiating_event,unnamed_23
0,2018-02-08,10:07.00,33.2071,-117.2072,Vegetation,Rural,Less Than .25 Acres,Fire Agency,North County Fire,P213833 ,,12kV,Conductor,Overhead,Yes,2018-02-08,10:07:00,Contact From Object,,Vegetation,Electric Facility,Human Error,,,
1,2018-02-16,16:50.00,32.627596000000004,-116.940852,Vegetation,Urban,Less Than .25 Acres,Utility,,C-594,,12kV,Conductor,Overhead,Yes,2018-02-16,14:02:00,Contact From Object,,Balloons,Electric Facility,Outside Force,,,
2,2018-04-12,19:33.00,32.696509999999996,-117.04929399999999,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,Z89883,,12kV,Conductor,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,Other,,,
3,2018-04-16,14:24.00,33.4176,-117.6058,Vegetation,Urban,Less Than .25 Acres,Fire Agency,OCFA,P121389,,12kV,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Electric Facility,Weather,,,
4,2018-04-18,15:25.00,33.241,-117.34700000000001,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CPFD,Z223638,,230kV,Conductor,Overhead,No,,,Contact From Object,,Animal,Electric Facility,Other,,,
5,2018-04-22,14:00.00,32.836999999999996,-117.184,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,P729991 Cir. 275,,12kV,Conductor,Overhead,Yes,2018-04-22,14:00:00,Contact From Object,,Balloons,Electric Facility,None,,,
6,2018-05-01,21:29.00,32.684752,-117.101169,Vegetation,Urban,Less Than .25 Acres,Fire Agency,National City,Z730733,,69kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Outside Force,,,
7,2018-05-22,14:23.00,33.361999999999995,-117.03200000000001,Vegetation,Rural,10 - 99 Acres,Fire Agency,CALFIRE,P214790 Cir.217,,12kV,Conductor,Overhead,Yes,2018-05-22,14:02:00,Contact From Object,,Balloons,Electric Facility,Other,,,
8,2018-06-01,14:00.00,33.099000000000004,-117.044,Vegetation,Rural,Less Than .25 Acres,Utility,,P618454,,12kV,Conductor,Overhead,No,,,Wire-Wire Contact,,,,Other,,,
9,2018-06-12,09:00.00,32.705999999999996,-116.396,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P44708 Cir. 458,,12kV,Conductor,Overhead,Yes,2018-06-12,09:00:00,Contact From Object,,Animal,Electric Facility,None,,,
10,2018-06-12,15:14.00,32.864000000000004,-116.74700000000001,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Fire Agency,P871937 Cir. 357,,12kV,Conductor,Overhead,Yes,2018-06-12,14:38:00,Contact from Object,,Balloons,Electric Facility,None,,,
11,2018-06-22,09:46.00,32.567,-116.941,Vegetation,Rural,Less Than .25 Acres,Fire Agency,SDFD,Z100698  Cir. 535,,12kV,Switch,Overhead,Yes,2018-06-22,09:42:00,Switch,,,,Unknown,,,
12,2018-06-29,13:06.00,32.645,-117.056,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Chula Vista,Z182447  Cir. 341,,12kV,Other,Overhead,Yes,2018-06-29,13:06:00,Equipment/Facility Failure,Guy/Span Wire,,,Unknown,,,
13,2018-07-06,10:26.00,32.620315000000005,-116.76493,Vegetation,Rural,10 - 99 Acres,Fire Agency,CalFire,"P177572, Station 157-825, C157",,12kV,Transformer,Overhead,No,,,Equipment/Facility Failure,Transformer,,,,,,
14,2018-07-08,16:16.00,32.634885,-117.10304199999999,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Chula Vista,"P100601, C255",,12kV,Switch,Overhead,Yes,2018-07-08,16:16:00,Other,,Other,Electric Facility,Other,,,
15,2018-07-22,23:19.00,33.301,-116.351,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Borrego Springs FD,374759 Cir 170,,12kV,Conductor,Overhead,Yes,2018-07-22,23:19:00,Contact From Object,,Vegetation,Electric Facility,None,,,
16,2018-07-30,12:11.00,32.868068,-117.190226,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,SDFD&MCMIR,Z90115 Cir 968,,12kV,Conductor,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,Other,,,
17,2018-08-09,12:00.00,33.213,-117.335,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Oceanside FD,P226873 Cir 194,,12kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Other,,,Other,,,
18,2018-08-19,18:35.00,32.7001804,-116.86386740000002,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P254640 Cir 75,,12kV,Conductor,Overhead,Yes,2018-07-19,18:35:00,Contact From Object,,Balloons,Electric Facility,Other,,,
19,2018-09-14,10:00.00,33.317706,-117.222844,Vegetation,Rural,Less Than .25 Acres,Fire Agency,MVU & NCFPD,P213051 Cir 233,Telecom/cable,12kV,Conductor,Overhead,No,,,Contact Between Third Party Facility on Pole and Supply Lines,Other,Vehicle,Communication Facility,Human Error,,,
