,,Date,Year,Month,Day,Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,"Suppressed 
by","Suppressing 
Agency",Facility Identification,Other Companies,Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Date,Time,Suspected Initiating Event,"Equipment /Facility 
Failure","Contact From 
Object","Facility 
Contacted",Contributing Factor,Notes,EIR Number
1707,PG&E,12/27/2020,2020,12,27,9:18,37.72173,-122.38793,Other,Urban,1 meter - < 3 meters,Fire Agency,San Francisco FD,101812102,Y,"12,000",Conductor - Primary,Overhead,Y,12/27/2020,9:18,Vandalism,N.A.,N.A.,N.A.,Vandalism,,
1703,PG&E,12/22/2020,2020,12,22,10:13,38.073912,-122.224228,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Vallejo FD,103163440,N,"12,000",Conductor - Primary,Overhead,Y,12/22/2020,10:46,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1701,PG&E,12/22/2020,2020,12,22,11:22,39.1663083,-122.1418717,Vegetation,Agriculture,1 meter - < 3 meters,Fire Agency,Williams FD,Circuit ID: 062051102,N,"12,000",Conductor - Primary,Overhead,Y,12/22/2020,11:13,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1692,PG&E,12/17/2020,2020,12,17,9:50,35.6957619,-120.2558811,Vegetation,Herbaceous,0.25 - 10 Acres,Cal Fire,Customer / Cal Fire,Circuit ID: 182562102 ,N,"12,000",Conductor - Primary,Overhead,N,N.A.,N.A.,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
1679,PG&E,12/13/2020,2020,12,13,12:50,35.33042355,-119.0094386,Other,Urban,3 meters - 0.25 Acres,Fire Agency,Bakersfield FD,Pole ID: 100155808,Y,"21,000",Insulator,Overhead,Y,12/13/2020,12:48,Equipment - PG&E,Insulator,N.A.,N.A.,N.A.,,
1676,PG&E,12/12/2020,2020,12,12,7:47,36.44257052,-119.5830392,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Kings County FD,Pole ID: 100788973,N,"12,000",Insulator,Overhead,Y,12/12/2020,7:28,Equipment - PG&E,Insulator,N.A.,N.A.,N.A.,,
1675,PG&E,12/11/2020,2020,12,11,23:21,40.5885483,-122.2986017,Other,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103521104; SAP ID: 101464947,Y,"12,000",Grounding Wire,Overhead,Y,12/11/2020,23:34,Equipment - PG&E,Grounding Wire,N.A.,N.A.,N.A.,,
1671,PG&E,12/9/2020,2020,12,9,16:15,35.379361,-119.097244,Other,Urban,3 meters - 0.25 Acres,Utility - PG&E,PG&E employee/ Self Extinguished,Circuit Breaker 112,N,"115,000",Circuit Breaker,Overhead,Y,12/9/2020,16:15,Equipment - PG&E,Circuit Breaker,N.A.,N.A.,N.A.,,EI201209A
1663,PG&E,12/7/2020,2020,12,7,11:52,35.153562,-120.631685,Vegetation,Herbaceous,0.25 - 10 Acres,Cal Fire,Cal Fire SLO,Circuit ID: 182631104,Y,"12,000",Jumper,Overhead,Y,12/7/2020,11:46,Weather,Jumper,N.A.,N.A.,Weather,High Winds,
1662,PG&E,12/7/2020,2020,12,7,10:10,37.07051684,-121.9772848,Vegetation,Hardwood Woodland,0.25 - 10 Acres,Cal Fire,Cal Fire Felton,"Circuit ID: 083622106, SAP ID: 101799700",Y,"12,000",Conductor - Primary,Overhead,Y,12/7/2020,10:01,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1657,PG&E,12/7/2020,2020,12,7,3:14,39.9381717,-121.735825,Vegetation,Conifer Forest,0.25 - 10 Acres,Cal Fire,N.A.,"Circuit ID: 102971111, SAP ID: 103357398",N,"12,000",Conductor - Primary,Overhead,Y,12/7/2020,3:11,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1654,PG&E,12/4/2020,2020,12,4,12:38,34.88810554,-120.4241289,Building,Urban,1 meter - < 3 meters,Self Extinguished,N.A.,Circuit ID: 182061104 ,Y,750,Conductor - Secondary,Overhead,Y,12/4/2020,12:38,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1653,PG&E,12/3/2020,2020,12,3,19:11,35.34728,-119.0519067,Vegetation,Urban,1 meter - < 3 meters,Customer,N.A.,253701112,Y,750,Splice/Clamp/Connector,Overhead,N,N.A.,N.A.,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1652,PG&E,12/3/2020,2020,12,3,15:33,34.85594325,-120.4511952,Other,Agriculture,3 meters - 0.25 Acres,Fire Agency,Santa Barbara County FD,101916205,Y,"12,000",Jumper,Overhead,N,N.A.,N.A.,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1651,PG&E,12/3/2020,2020,12,3,2:54,35.4026317,-118.9926333,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Bakersfield FD,Circuit ID: 253371101; SAP ID: 100164680; Eqp: Conductor,Y,"12,000",Conductor - Secondary,Overhead,Y,12/3/2020,3:37,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1646,PG&E,11/30/2020,2020,11,30,20:53,36.56469,-121.91182,Vegetation,Conifer Forest,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 182291101; Between riser 1463 and cutout J-71,N,"12,000",Conductor - Primary,Underground,Y,11/30/2020,20:53,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1638,PG&E,11/30/2020,2020,11,30,20:47,40.3831667,-122.4516583,Vegetation,Hardwood Woodland,1 meter - < 3 meters,Self Extinguished,N.A.,Meter: 1006281774,Y,750,Service Drop,Overhead,Y,11/30/2020,20:36,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1637,PG&E,11/30/2020,2020,11,30,14:07,39.36225,-121.8326133,Other,Agriculture,10 - 100 Acres,Cal Fire,N.A.,Pole ID: 100377946,N,"12,000",Pole,Overhead,Y,11/30/2020,8:44,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1629,PG&E,11/28/2020,2020,11,28,13:37,35.966139,-121.091364,Vegetation,Herbaceous,3 meters - 0.25 Acres,Cal Fire,N.A.,120106279,Y,"12,000",Conductor - Primary,Overhead,Y,11/28/2020,13:37,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1619,PG&E,11/23/2020,2020,11,23,13:03,36.70513,-121.65557,Building,Urban,Structure Only,Fire Agency,Salinas FD,N.A.,N.A.,"12,000",N.A.,Overhead,N,N.A.,N.A.,Under Investigation,N.A.,N.A.,N.A.,N.A.,"PG&E has included the following ignition that meets Electric Incident Report criteria, defined by Appendix B to CPUC D.06-04-055. PG&E has not formed a conclusion about the origin or cause of this particular ignition.",EI201123A
1614,PG&E,11/21/2020,2020,11,21,17:17,37.48748,-122.20769,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Redwood City FD,100264583,Y,"12,000",Conductor - Primary,Overhead,Y,11/21/2020,17:17,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1613,PG&E,11/21/2020,2020,11,21,16:33,37.3102517,-121.8496167,Other,Urban,1 meter - < 3 meters,Fire Agency,San Jose FD,Pole ID: 100621989,Y,750,Riser,Overhead,Y,11/21/2020,16:32,Equipment - PG&E,Riser Failure,N.A.,N.A.,N.A.,,
1610,PG&E,11/20/2020,2020,11,20,16:45,39.9603067,-122.1882067,Vegetation,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103331102,Y,"12,000",Conductor - Primary,Overhead,Y,11/20/2020,16:39,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1731,PG&E,11/17/2020,2020,11,17,10:04,35.71813,-119.5885,Other,Wetland,1 meter - < 3 meters,Self Extinguished,N.A.,100171496,N,"12,000",Pole,Overhead,Y,11/17/2020,9:51,Equipment - PG&E,Pole failure,N.A.,N.A.,N.A.,,
1566,PG&E,11/17/2020,2020,11,17,5:55,37.3437326,-122.116606,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Santa Clara County FD,Circuit ID: 082161102 ,Y,750,Conductor - Secondary,Overhead,Y,11/17/2020,5:54,Contact from object,N.A.,Vegetation,Conductor - Secondary,N.A.,,
1735,PG&E,11/13/2020,2020,11,13,13:18,38.2105,-122.13832,Building,Urban,Unknown,Self Extinguished,N.A.,63801102,N,"12,000",Pothead,Overhead,Y,11/13/2020,13:06,Equipment - PG&E,Insulator failure,N.A.,N.A.,N.A.,"Unknown whether meets reportability threshold, but confirmed to be attributable to PG&E.",
1548,PG&E,11/12/2020,2020,11,12,18:19,39.5379767,-121.6465867,Vegetation,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103251101 ,N,"12,000",Conductor - Primary,Overhead,Y,11/12/2020,18:11,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1546,PG&E,11/12/2020,2020,11,12,14:51,38.3938617,-122.8707867,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Gold Ridge FD,Circuit ID: 042571101,Y,"12,000",Service Drop,Overhead,N,N.A.,N.A.,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1545,PG&E,11/12/2020,2020,11,12,8:10,38.3928,-121.58311,Other,Urban,3 meters - 0.25 Acres,Fire Agency,Clarksburg FD,62462227,Y,"21,000",Insulator,Overhead,Y,11/12/2020,7:53,Unknown,Insulator failure,N.A.,N.A.,Unknown,"Unknown as to what caused the initial failure, but initial investigation found the ignition to be attributable to PG&E facilities.",
1543,PG&E,11/11/2020,2020,11,11,19:22,40.495691,-121.946736,Vegetation,Hardwood Forest,0.25 - 10 Acres,Cal Fire,N.A.,021/108,N,"500,000",Other,Overhead,N,N.A.,N.A.,Equipment - PG&E,Other,N.A.,N.A.,Other,Induction caused ignition.,
1534,PG&E,11/10/2020,2020,11,10,11:34,37.39257817,-120.7559529,Other,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 252261106 ,N,"12,000",Conductor - Primary,Overhead,Y,11/10/2020,11:23,Contact from object,N.A.,Vehicle,Conductor - Primary,N.A.,,
1741,PG&E,11/10/2020,2020,11,10,12:36,39.21647,-122.01605,Other,Urban,Unknown,Unknown,N.A.,62021101,Y,"12,000",Jumper,Overhead,N,N.A.,N.A.,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,"Unknown whether meets reportability threshold, but confirmed to be attributable to PG&E.",
1527,PG&E,11/8/2020,2020,11,8,17:36,38.990939,-121.403944,Vegetation,Herbaceous,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 152811104,Y,"12,000",Conductor - Primary,Overhead,N,N.A.,N.A.,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1526,PG&E,11/8/2020,2020,11,8,17:06,38.2666283,-122.0026683,Other,Urban,3 meters - 0.25 Acres,Utility - PG&E,N.A.,Circuit ID: 063642104 ,N,"21,000",Conductor - Primary,Overhead,Y,11/8/2020,17:04,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
