,date,year,month,day,time,hour,minute,latitude,longitude,Wind Speed
0,2014-06-10,2014,6,10,12:15:14 AM,0,15,40.20599,-122.25333,14.8
1,2014-06-12,2014,6,12,12:06:30 AM,0,6,38.04374999,-122.74624,no data
2,2014-06-13,2014,6,13,12:09:19 AM,0,9,36.93347999,-121.388549,35.3
3,2014-06-14,2014,6,14,12:08:47 AM,0,8,37.419005,-122.18077,31.7
4,2014-06-14,2014,6,14,12:11:01 AM,0,11,37.130915,-121.091918,no data
5,2014-06-15,2014,6,15,12:09:47 AM,0,9,37.130774,-121.97141,11.2
6,2014-06-15,2014,6,15,12:17:28 AM,0,17,37.970771,-121.984981,31.7
7,2014-06-15,2014,6,15,12:20:55 AM,0,20,39.88785999,-122.197369,7.6
8,2014-06-16,2014,6,16,12:15:37 AM,0,15,38.16816999,-120.607469,13.0
9,2014-06-17,2014,6,17,12:13:49 AM,0,13,38.666794,-122.596397,14.8
10,2014-06-17,2014,6,17,12:14:50 AM,0,14,40.96058,-124.043959,27.7
11,2014-06-17,2014,6,17,12:16:47 AM,0,16,34.68609,-120.432732,31.7
12,2014-06-17,2014,6,17,12:21:24 AM,0,21,38.41804,-121.140461,20.5
13,2014-06-18,2014,6,18,12:10:01 AM,0,10,37.801098,-121.202156,22.3
14,2014-06-18,2014,6,18,12:18:29 AM,0,18,37.317509,-120.504905,27.7
15,2014-06-19,2014,6,19,12:16:32 AM,0,16,37.93146,-121.2999,16.6
16,2014-06-19,2014,6,19,12:18:54 AM,0,18,38.780199,-121.500724,5.4
17,2014-06-20,2014,6,20,12:09:47 AM,0,9,34.865099,-120.320672,24.1
18,2014-06-20,2014,6,20,12:12:00 AM,0,12,39.666337,-122.196881,18.4
19,2014-06-20,2014,6,20,12:14:15 AM,0,14,40.78022999,-121.50287,no data
20,2014-06-21,2014,6,21,12:06:49 AM,0,6,38.3753,-122.5494,16.6
21,2014-06-21,2014,6,21,12:14:36 AM,0,14,38.36443999,-122.262649,33.5
22,2014-06-22,2014,6,22,12:08:19 AM,0,8,34.894389,-120.424459,0.0
23,2014-06-23,2014,6,23,12:06:04 AM,0,6,37.5046,-120.00742,no data
24,2014-06-23,2014,6,23,12:17:45 AM,0,17,39.064024,-121.022486,13.0
25,2014-06-24,2014,6,24,12:07:11 AM,0,7,36.74953999,-121.65706,13.0
26,2014-06-24,2014,6,24,12:07:48 AM,0,7,37.9037,-121.679162,18.4
27,2014-06-24,2014,6,24,12:14:31 AM,0,14,39.78568,-121.90659,18.4
28,2014-06-24,2014,6,24,12:16:56 AM,0,16,37.974014,-121.346462,18.4
29,2014-06-24,2014,6,24,12:17:12 AM,0,17,38.110973,-122.564512,27.7
30,2014-06-25,2014,6,25,12:01:36 AM,0,1,36.89085,-121.71746,14.8
31,2014-06-25,2014,6,25,12:08:51 AM,0,8,34.88304,-120.277619,35.3
32,2014-06-25,2014,6,25,12:08:53 AM,0,8,39.01101,-120.89606,9.4
